Item Name,Calories,Protein,Carbohydrates,Fats,Vegetarian,Allergens
Egg (1 fl oz),47,4,1,1,FALSE,E
Egg White (1 fl oz),17,3,1,0,TRUE,E
Tofu (1 oz),29,3,1,0,TRUE,S
Green Bell Pepper (1 oz),6,0,1,0,TRUE,
Tomato (1 oz),6,0,1,0,TRUE,
Sliced Mushrooms (1 oz),6,1,1,0,TRUE,
Bacon Bits (1 oz),142,8,0,4,FALSE,
Diced Ham (1 oz),56,4,1,2,FALSE,
Sausage Crumble (1 oz),101,0,1,3,FALSE,
Chorizo (1 oz),86,0,2,3,FALSE,
Shredded Cheese (1 oz),111,6,1,5,TRUE,M
Scrambled Eggs (3 oz cooked),211,18,4,5,FALSE,"E,S"
Cheese and Tomato Scrambled Eggs (3 oz cooked),238,18,5,7,TRUE,"E,M,S"
Egg Whites (3 oz cooked),69,11,3,1,TRUE,"E,S"
Turkey Sausage Patty (1 each),76,9,1,1,FALSE,
Vegan Sausage Patty (1 each),70,6,4,0,TRUE,"S,W"
Triangle Hash Brown (2 each),203,2,28,1,TRUE,
Blueberry Pancake (1 each),105,3,19,1,TRUE,"E,M,S,W"
Oatmeal (4 oz cooked),170,6,31,1,TRUE,W
Jasmine Rice (3 oz cooked),109,2,25,0,TRUE,
