Item Name,Calories,Protein,Carbohydrates,Fats,Vegetarian,Allergens
Hot Chicken Sandwich (1 each),312,17,14,7,FALSE,"M,W"
Cheeseburger (1 each),423,21,28,12,FALSE,"M,S,W"
Hamburger (1 each),353,18,27,10,FALSE,W
Malibu Vegan Burger (1 each),371,12,48,8,TRUE,"S,W"
Seasoned Fries (3 oz cooked),141,1,23,7,TRUE,
Hawaiian Pizza (1 slice),397,14,60,10,FALSE,"M,S,W"
Cheese Pizza (1 slice),237,10,35,9,TRUE,"E,M,S,W"
Mediterranean Flatbread (Vegan) (1 slice),410,7,26,5,TRUE,"M,W"
Baked Penne Alfredo (4 oz cooked),351,13,53,12,TRUE,"E,M,W"
Garlic Bread (1 each),139,3,15,6,TRUE,"M,S,W"
Cilantro Lime Chicken (4 oz cooked),172,22,1,1,FALSE,
Chile Relleno with Ranchera Sauce (1 piece),260,10,9,9,FALSE,"E,M,W"
Brown Rice (3 oz cooked),139,3,30,0,TRUE,
Cilantro Lime Rice (3 oz cooked),92,2,20,0,TRUE,
Black Beans (3 oz cooked),89,6,16,0,TRUE,
Pico De Gallo (1 oz),5,0,1,0,TRUE,
Guacamole (1 oz),45,1,2,4,TRUE,
Peruvian Anticuchos de Pollo (3 oz cooked),159,17,0,3,FALSE,
Peruvian Anticuchos de Tofu (3 oz cooked),115,11,4,3,TRUE,S
Zucchini and Corn (3 oz cooked),18,1,4,0,TRUE,
Garlic Roasted Potatoes (3 oz cooked),66,2,15,0,TRUE,
Mongolian Noodles – Veggie/Tofu (4 oz cooked),177,4,16,2,TRUE,"F,S,SS,W"
California Sushi Roll (3 piece),249,5,54,0,TRUE,"F,S,W"
Vegan Sushi Roll (3 piece),235,4,52,0,TRUE,
