Item Name,Calories,Protein,Carbohydrates,Fats,Vegetarian,Allergens
Original Ahi Tuna,100,14,3,3.5,FALSE,"W,F"
Sriracha Ahi Tuna,70,10,2,2,FALSE,"F"
Original Salmon,140,12,2,9,FALSE,"W,F"
Spicy Yuzu Salmon,180,14,4,12,FALSE,"F"
Creamy Bay Scallops,130,16,3,5,FALSE,"W,F,SF"
Kimchee Shrimp,80,12,3,2.5,FALSE,"W,F,SF"
Kimchee Tako,60,8,2,1,FALSE,"W,F,SF"
Lobster Mayo,100,9,1,6,FALSE,"W,F,SF"
Crab Meat Mix,90,2,4,7,FALSE,"W,F,SF"
California Poke,90,2,5,7,FALSE,"W,F,SF"
Tofu,60,6,2,3.5,TRUE,"W,S"
Avocado,45,1,2,4,TRUE,""
Edamame,0,0,0,0,TRUE,"S"
Ginger,10,1,3,0,TRUE,""
Fried Onion,60,0,4,4,TRUE,""
Seaweed Salad,35,0,4,1.5,TRUE,""
Corn,25,1,6,0,TRUE,""
Dried Seaweed,110,11,11,0,TRUE,""
Masago,5,0,1,0,FALSE,"SF"
Green Onion,0,0,0,0,TRUE,""
Grilled Salmon,160,17,3,9,FALSE,"W,F,M"
Angus Steak,110,14,2,4.5,FALSE,"W"
Grilled Chicken,100,12,3,4.5,FALSE,"W"
Shrimp Tempura,130,8,10,6,FALSE,"W,S,SF,M,E"
Spam,180,7,1,16,FALSE,"W"
Sushi Rice,380,7,87,0,TRUE,""
Brown Rice,320,6,65,3.5,TRUE,""
Salad Mix,40,4,6,0,TRUE,""
Miso Soup,80,5,8,2.5,FALSE,"W,S"
Curry,190,1,21,12,FALSE,"W,S"
California Roll,350,8,54,12,FALSE,"W"
California Sunrise Roll,340,8,56,10,FALSE,"W,S"
Eel Roll,210,7,35,5,FALSE,"W,F"
Rainbow Roll,440,20,56,15,FALSE,"F"
Spicy Tuna Roll,550,22,59,24,FALSE,"F"
Veggie Roll,400,9,66,12,TRUE,"W"
Sushi Combo (Salmon, Shrimp & Tuna),290,12,56,1.5,FALSE,"F,SF"
Sushi & California Roll,380,11,64,9,FALSE,"W,F,SF"
Sushi & Spicy Tuna Roll,590,24,76,21,FALSE,"F,SF"
Classic Lemonade (16 oz),210,0,53,0,TRUE,""
Strawberry Lemonade (16 oz),220,0,55,0,TRUE,""
Raspberry Lemonade (16 oz),210,0,53,0,TRUE,""
Pomegranate Lemonade (16 oz),240,0,59,0,TRUE,""
Ginger Lemonade (16 oz),160,0,41,0,TRUE,""
Thai Milk Tea (16 oz),280,2,54,6,FALSE,"M"
Classic Green Milk Tea (16 oz),260,0,34,6,FALSE,"M"
Classic Black Milk Tea (16 oz),260,1,34,6,FALSE,"M"
Matcha Green Milk Tea (16 oz),380,12,65,7,FALSE,"M"
Iced Green Tea (16 oz),140,0,34,0,TRUE,""
Iced Black Tea (16 oz),140,1,34,0,TRUE,""
Mango Smoothie (16 oz),260,3,61,0,FALSE,"M"
Infused Water (Lemon Cucumber),10,0,3,0,TRUE,""
Infused Water (Strawberry Pineapple),20,0,5,0,TRUE,""
Infused Water (Watermelon, Kiwi, Orange),30,0,7,0,TRUE,""
Japanese Lemonade,230,0,61,0,TRUE,""
Tapioca Pearls,130,0,32,0,TRUE,""
Lychee Jelly,270,1,37,0,TRUE,""
Chia Seeds,45,1,4,3,TRUE,""
