Item Name,Calories,Protein,Carbohydrates,Fats,Vegetarian,Allergens
Apple Sauce,50,0,13,0,TRUE,
Bacon (1 oz.),120,9,0,8,FALSE,
Bacon (2 oz.),230,19,0,17,FALSE,
Barq's Root Beer (Reg),280,0,73,0,TRUE,
Barq's Root Beer (Lrg),430,0,110,0,TRUE,
Black Beans (2 oz.),70,5,12,0,TRUE,
Black Beans (4 oz.),140,9,24,1,TRUE,
Brisket Birria (3.5 oz),140,15,3,7,FALSE,
Caffeine Free Diet Coke (Reg),0,0,0,0,TRUE,
Caffeine Free Diet Coke (Lrg),0,0,0,0,TRUE,
Cherry Coca-Cola (Reg),270,0,69,0,TRUE,
Cherry Coca-Cola (Lrg),400,0,104,0,TRUE,
Chicken Queso Bowl,750,43,74,33,FALSE,"M,W"
Chicken Queso Burrito,1050,51,126,40,FALSE,"M,W"
Chile Corn Salsa (1 oz.),25,1,5,0,TRUE,
Chile Crema (1 oz),130,0,1,14,FALSE,M
Cholula Hot & Sweet Chicken (3.5oz),190,16,10,10,FALSE,
Cholula Hot & Sweet Chicken Bowl,610,31,77,20,FALSE,M
Cholula Hot & Sweet Chicken Burrito,910,39,130,27,FALSE,"M,W"
Chopped Cilantro (.12 oz ),0,0,0,0,TRUE,
Chorizo (1.5 oz.),130,7,2,10,FALSE,
Chorizo (3.0 oz.),260,14,5,20,FALSE,
Cilantro Lime Rice (2 oz.),90,2,19,1.5,TRUE,
Cilantro Lime Rice (4 oz.),190,3,38,2.5,TRUE,
Citrus Lime Chicken Salad,540,31,49,26,FALSE,M
Coca Cola (Bottle),240,0,67,0,TRUE,
Coca-Cola (Reg),240,0,67,0,TRUE,
Coca-Cola (Lrg),360,0,100,0,TRUE,
Coca-Cola Zero (Reg),0,0,0,0,TRUE,
Coca-Cola Zero (Lrg),0,0,0,0,TRUE,
Cotija Cheese (.25 oz.),25,1,0,2,FALSE,M
Crispy Taco Shell,60,1,8,2.5,TRUE,W
Crunchy Tortilla Shell,390,7,41,22,TRUE,W
Dasani Water,0,0,0,0,TRUE,
Diet Coke (Bottle),0,0,0,0,TRUE,
Diet Coke (Reg),0,0,0,0,TRUE,
Diet Coke (Lrg),0,0,0,0,TRUE,
Diet Dr. Pepper (Reg),0,0,0,0,TRUE,
Diet Dr. Pepper (Lrg),0,0,0,0,TRUE,
Double Protein Bowl - Chicken,700,51,41,38,FALSE,
Double Protein Bowl - Steak,1040,52,47,72,FALSE,
Eggs (6 oz.),230,19,2,16,FALSE,E
Fajita Vegan Bowl,530,17,79,17,TRUE,
Fajita Veggies (2 oz.),40,1,3,3,TRUE,
Fanta Orange (Reg),270,0,73,0,TRUE,
Fanta Orange (Lrg),410,0,110,0,TRUE,
"Flour Tortilla (5.5"")",70,2,12,1.5,TRUE,W
"Flour Tortilla (10"")",210,6,36,5,TRUE,W
"Flour Tortilla (12.5"")",300,8,52,7,TRUE,W
Gold Peak Black Ice Tea,0,0,0,0,TRUE,
Gold Peak Classic Blend Tea (Reg),10,0,3,0,TRUE,
Gold Peak Classic Blend Tea (Lrg),15,0,4,0,TRUE,
Gold Peak Classic Sweet Tea (Reg),160,0,41,0,TRUE,
Gold Peak Classic Sweet Tea (Lrg),230,0,61,0,TRUE,
Gold Peak Green Tea,150,0,38,0,TRUE,
Gold Peak Peach Ice Tea,170,0,45,0,TRUE,
Gold Peak Raspberry Ice Tea,190,0,48,0,TRUE,
Gold Peak Southern Tea (Reg),180,0,46,0,TRUE,
Gold Peak Southern Tea (Lrg),270,0,69,0,TRUE,
Grilled Adobo Chicken (3.5 oz.),190,19,2,12,FALSE,
Grilled Chicken (1.75 oz.),90,10,1,6,FALSE,
Grilled Steak (1.75 oz.),180,10,2,14,FALSE,
Grilled Steak (3.5 oz.),360,20,5,28,FALSE,
Ground Beef (3.5 oz.),190,15,4,12,FALSE,
Habanero Salsa (1 oz.),10,0,2,0,TRUE,
Hand Crafted Guacamole (2 oz.),80,1,5,8,TRUE,
Hand Crafted Guacamole (4 oz.),170,2,9,15,TRUE,
Hand Smashed Guac (1 oz.),40,1,2,4,TRUE,
Hi-C Flashin Fruit Punch (Reg),270,0,74,0,TRUE,
Hi-C Flashin Fruit Punch (Lrg),400,0,111,0,TRUE,
Impossible Taco Salad,520,31,46,23,TRUE,
Jarritos Lime,170,0,44,0,TRUE,
Jarritos Mandarian,140,0,36,0,TRUE,
Jarritos Pineapple,140,0,35,0,TRUE,
Jarritos Strawberry,170,0,43,0,TRUE,
Keto Bowl - Brisket Birria,370,25,13,25,FALSE,
Keto Bowl - Chicken,400,33,11,26,FALSE,
Keto Bowl - Steak,490,25,13,38,FALSE,
Mello Yello (Reg),290,0,78,0,TRUE,
Mello Yello (Lrg),440,0,117,0,TRUE,
Mexican Coke,150,0,39,0,TRUE,
Minute Maid Kid's Apple Juice Box,90,0,21,0,TRUE,
Minute Maid Lemonade (Reg),280,0,72,0,TRUE,
Minute Maid Lemonade (Lrg),410,0,109,0,TRUE,
Minute Maid Light Lemonade (Reg),40,0,10,0,TRUE,
Minute Maid Light Lemonade (Lrg),60,0,15,0,TRUE,
POWERade Mountain Berry Blast (Reg),130,0,35,0,TRUE,
POWERade Mountain Berry Blast (Lrg),200,0,53,0,TRUE,
Picante Ranch Dressing (1.5 oz.),80,1,3,8,FALSE,"M,E"
Pickled Jalapenos (1 oz.),15,0,3,0,TRUE,
Pickled Red Onion (0.8 oz),10,0,3,0,TRUE,
Pico de Gallo (1 oz.),5,0,1,0,TRUE,
Pinto Beans (2 oz.),70,4,12,1,TRUE,
Pinto Beans (4 oz.),130,8,23,1,TRUE,
Plant-Based Impossible (3.1 oz.),170,13,8,9,TRUE,
Pork Carnitas (2 oz.),60,8,0,2.5,FALSE,
Pork Carnitas (3.5 oz.),110,14,0,4.5,FALSE,
