Item Name,Calories,Protein,Carbohydrates,Fats,Vegetarian,Allergens
Butter Croissant,250,4.8,28,13,FALSE,"W,E,M,P,SS,S,T"
Cinnamon Swirl,387,11,67,7.6,TRUE,"W,E,M,S"
Luxury Fruit Bread,491,12,84,11,TRUE,"W,E,M,S,T"
Fruit Scone,289,6.7,44,9,TRUE,"W,E,M,P,S,T"
Almond Croissant,343,7,37,18,FALSE,"W,E,M,T"
Chocolate Twist,294,5.4,38,13,FALSE,"W,E,M,S"
Chocolate & Hazelnut Croissant,358,5.4,40,19,FALSE,"W,E,M,T"
Chocolate Babka,456,11,70,14,FALSE,"W,E,M,S,T"
Pistachio Croissant,281,6.5,32,14,FALSE,"W,E,M,T"
Triple Chocolate Muffin,431,5.1,50.6,23.4,FALSE,"W,E,M,S"
Blueberry Muffin,373,5.3,50.2,17.5,TRUE,"W,E,M,S"
Lemon Muffin,395,5.4,52.1,18.8,TRUE,"W,E,M,S"
Boston Cream Muffin,449,5.7,56,22,FALSE,"W,E,M,S"
S'mores Muffin,449,5.5,60,20.4,FALSE,"W,E,M,S"
Caramel & Cream Donut,389,5,53,17,FALSE,"W,E,M,S,T"
Chocolate Chunk Cookie,338,4.4,45,15,FALSE,"W,E,M,S,T"
Strawberry & Cream Viennese Swirl,321,3,35,18,FALSE,"W,E,M,S"
Speculoos Cookie,351,4.7,50,15,FALSE,"W,E,M,S"
Jaffa Cookie Sandwich,338,3.3,39,20,FALSE,"W,E,M,S"
Viennesse Swirl,361,3.7,38,21,FALSE,"W,E,M,S"
Carrot Cake Loaf,390,4.4,51,18,FALSE,"W,E,M,S,T"
Vanilla Blueberry Loaf,436,5,44,27,FALSE,"W,E,M,S,T"
Pistachio & White Chocolate Loaf Cake,408,6.4,41,24,FALSE,"W,E,M,T"
Red Velvet Loaf,419,6.8,45,23,FALSE,"W,E,M,S"
Black Forest Yule Log,314,2.1,41,16,FALSE,"W,E,M,S"
Raspberry & White Chocolate Yule Log,313,2.1,40,16,FALSE,"W,E,M,S,T"
Fifteens,300,3.1,47,13,FALSE,"W,E,M,S"
White Twizzle Stick,153,0.6,33,2.3,FALSE,"W,M"
Milk Twizzle Stick,153,1,26.6,5,FALSE,"W,M"
Teaser Slice,502,4.9,59,27,FALSE,"W,E,M,S,T"
Pink Pop,172,1.7,19,9.9,FALSE,"W,E,M,S"
Cookies & Cream Pop,168,1.5,19,9.5,FALSE,"W,E,M,S"
Millionaire Shortbread,535,5.3,64,28,FALSE,"W,E,M,S,T"
Ultimate Chocolate Brownie,494,5.6,51,28,FALSE,"W,E,M,S,T"
Dubai Style Pistachio Brownie,387,4.3,41,22,FALSE,"W,E,M,T"
Caramel Crunch Oatie,485,6.9,61,23,FALSE,"W,E,M,S"
Bueno Crispie,346,3.3,43,18,FALSE,"W,E,M,S,T"
Bakewell Tartlet,308,3.3,45,12.5,FALSE,"W,E,M,T"
Pecan Pie Tartlet,444,4,60,20,FALSE,"W,E,M,T"
Cookies & Cream Brookie,470,4.2,62,23,FALSE,"W,E,M,S"
Mummy Cake Pop,172,1.5,19,9.9,FALSE,"W,E,M,S"
Mince Pie,490,4.2,79,17,FALSE,"W,E,M,S,T"
Polar Bear Cake Pop,168,1.4,20,9.1,FALSE,"W,E,M,S"
Chocolate Orange Biscuit Cake,517,4.5,62,27,FALSE,"W,E,M,S"
Speculoos & Caramel Crispie,401,3.1,56,18,FALSE,"W,E,M,S"
Salted Caramel Brownie,408,4,49,22,FALSE,"W,E,M,S"
Porridge Made With Water,130,3.9,23,2,TRUE,"W"
Porridge Made With Semi-Skimmed Milk,217,10,32,5.3,FALSE,"W,M"
Granola Pot Strawberry,215,7.6,22,9.4,TRUE,"W,M,S"
Granola Pot Blueberry,239,7.6,28,9.4,TRUE,"W,M,S"
Ham And Cheese Croissant,307,14.2,25.1,16.4,FALSE,"W,E,M"
Cheese & Mushroom Croissant,324,13,26,19,FALSE,"W,E,M"
Breakfast Panini,508,22,57,21,FALSE,"W,E,M"
Bacon, Egg & Quinoa Burrito,513,19,54,24,FALSE,"W,E,M"
Chicken & Stuffing Sandwich,537,27.6,57.3,22.9,FALSE,"W,E,M"
Lemon Chicken Sandwich,382,11.9,28.8,20.9,FALSE,"W,E,M"
Italian Style Chicken Flatbread,407,22,51,12,FALSE,"W,E,M"
Double Egg & Cress Sandwich,442,18.9,42.6,20.2,FALSE,"W,E,M"
Turkey & Ham Feast Sandwich,545,21,71,21,FALSE,"W,E,M"
Ham & Cheese Toastie,442,22,57,14,FALSE,"W,E,M"
Breakfast Toastie,484,20,52,22,FALSE,"W,E,M"
